Device: cuda
Vocabulary size: 125 | PAD index: 0
Training data: 1754281 sequences x 100 steps
Trainable parameters: 21636221
Batch size: 128 | batches per epoch: 13705 | epochs: 15
  epoch 3/15 | batch 5800/13705 | loss 0.3747 | avg 0.3824
  epoch 3/15 | batch 5900/13705 | loss 0.3749 | avg 0.3824
  epoch 3/15 | batch 6000/13705 | loss 0.3741 | avg 0.3824
  epoch 3/15 | batch 6100/13705 | loss 0.3704 | avg 0.3823
  epoch 3/15 | batch 6200/13705 | loss 0.3876 | avg 0.3823
  epoch 3/15 | batch 6300/13705 | loss 0.3761 | avg 0.3822
  epoch 3/15 | batch 6400/13705 | loss 0.3880 | avg 0.3822
  epoch 3/15 | batch 6500/13705 | loss 0.3837 | avg 0.3822
  epoch 3/15 | batch 6600/13705 | loss 0.3756 | avg 0.3822
  epoch 3/15 | batch 6700/13705 | loss 0.3723 | avg 0.3821
  epoch 3/15 | batch 6800/13705 | loss 0.3888 | avg 0.3821
  epoch 3/15 | batch 6900/13705 | loss 0.3697 | avg 0.3821
  epoch 3/15 | batch 7000/13705 | loss 0.3763 | avg 0.3820
  epoch 3/15 | batch 7100/13705 | loss 0.3866 | avg 0.3820
  epoch 3/15 | batch 7200/13705 | loss 0.3750 | avg 0.3820
  epoch 3/15 | batch 7300/13705 | loss 0.3871 | avg 0.3820
  epoch 3/15 | batch 7400/13705 | loss 0.3869 | avg 0.3820
  epoch 3/15 | batch 7500/13705 | loss 0.4076 | avg 0.3819
  epoch 3/15 | batch 7600/13705 | loss 0.3916 | avg 0.3819
  epoch 3/15 | batch 7700/13705 | loss 0.3811 | avg 0.3818
  epoch 3/15 | batch 7800/13705 | loss 0.4020 | avg 0.3818
  epoch 3/15 | batch 7900/13705 | loss 0.3805 | avg 0.3818
  epoch 3/15 | batch 8000/13705 | loss 0.3815 | avg 0.3817
  epoch 3/15 | batch 8100/13705 | loss 0.3741 | avg 0.3817
  epoch 3/15 | batch 8200/13705 | loss 0.3719 | avg 0.3817
  epoch 3/15 | batch 8300/13705 | loss 0.3722 | avg 0.3817
  epoch 3/15 | batch 8400/13705 | loss 0.3862 | avg 0.3816
  epoch 3/15 | batch 8500/13705 | loss 0.3718 | avg 0.3816
  epoch 3/15 | batch 8600/13705 | loss 0.4003 | avg 0.3815
  epoch 3/15 | batch 8700/13705 | loss 0.3737 | avg 0.3815
  epoch 3/15 | batch 8800/13705 | loss 0.3618 | avg 0.3815
  epoch 3/15 | batch 8900/13705 | loss 0.3781 | avg 0.3814
